"","IP","X_","audio","condition","experimentName","item","response1","response1_time","sound1","time","trialnumber","userCode","userFileName","view"
"91","46.188.125.246",1418465914488,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"ZJO7",7,"undefined"
"92","46.188.125.246",1418465925086,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"ZJO7",7,"undefined"
"93","46.188.125.246",1418465934785,"undefined","","HSElist1Dec12","","Ошибка!",3905,1,NA,4,"ZJO7",7,"undefined"
"94","46.188.125.246",1418465944224,"undefined","","HSElist1Dec12","","Ошибка!",3896,1,NA,5,"ZJO7",7,"undefined"
"95","46.188.125.246",1418465956521,"undefined","","HSElist1Dec12","","",NA,1,NA,6,"ZJO7",7,"undefined"
"96","46.188.125.246",1418465966258,"undefined","","HSElist1Dec12","","Ошибка!",2910,1,NA,7,"ZJO7",7,"undefined"
"97","37.145.247.113",1418757314147,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"VUT8",8,"undefined"
"98","37.145.247.113",1418757328414,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"VUT8",8,"undefined"
"99","37.145.247.113",1418757340545,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"VUT8",8,"undefined"
"100","37.145.247.113",1418757371397,"undefined","","HSElist1Dec12","","",NA,NA,NA,1,"KAO9",9,"undefined"
"101","37.145.247.113",1418757373814,"undefined","","HSElist1Dec12","","",NA,NA,NA,2,"KAO9",9,"undefined"
"102","37.145.247.113",1418757385784,"undefined","","HSElist1Dec12","","",NA,1,NA,3,"KAO9",9,"undefined"
"103","37.145.247.113",1418757398285,"undefined","","HSElist1Dec12","","Ошибка!",4540,1,NA,4,"KAO9",9,"undefined"
"104","37.145.247.113",1418757409575,"undefined","","HSElist1Dec12","","Ошибка!",4507,1,NA,5,"KAO9",9,"undefined"
"105","37.145.247.113",1418757426220,"undefined","","HSElist1Dec12","","",NA,1,NA,6,"KAO9",9,"undefined"
"106","37.145.247.113",1418757444194,"undefined","","HSElist1Dec12","","Ошибка!",3723,1,NA,7,"KAO9",9,"undefined"
"107","37.145.247.113",1418757460391,"1_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,9,"KAO9",9,"stimulus.ejs"
"108","37.145.247.113",1418757474906,"2_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,10,"KAO9",9,"stimulus.ejs"
"109","37.145.247.113",1418757488482,"3_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",6507,1,NA,11,"KAO9",9,"stimulus.ejs"
"110","37.145.247.113",1418757499545,"4_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,12,"KAO9",9,"stimulus.ejs"
"111","37.145.247.113",1418757511991,"5_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,13,"KAO9",9,"stimulus.ejs"
"112","37.145.247.113",1418757523197,"6_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",5196,1,NA,14,"KAO9",9,"stimulus.ejs"
"113","37.145.247.113",1418757534412,"7_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",5033,1,NA,15,"KAO9",9,"stimulus.ejs"
"114","37.145.247.113",1418757546496,"8_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",6125,1,NA,16,"KAO9",9,"stimulus.ejs"
"115","37.145.247.113",1418757558791,"9_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,17,"KAO9",9,"stimulus.ejs"
"116","37.145.247.113",1418757570407,"10_1_fill","NM_Pauc","HSElist1Dec12","fill","Ошибка!",4395,1,NA,18,"KAO9",9,"stimulus.ejs"
"117","37.145.247.113",1418757584036,"11_1_exp","NM_Pl","HSElist1Dec12","exp","Ошибка!",6180,1,NA,19,"KAO9",9,"stimulus.ejs"
"118","37.145.247.113",1418757595498,"12_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,20,"KAO9",9,"stimulus.ejs"
"119","37.145.247.113",1418757606457,"13_1_fill","M_Pauc","HSElist1Dec12","fill","",NA,1,NA,21,"KAO9",9,"stimulus.ejs"
"120","37.145.247.113",1418757631204,"14_1_exp","M_Pl","HSElist1Dec12","exp","",NA,1,NA,22,"KAO9",9,"stimulus.ejs"
"121","37.145.247.113",1418757642943,"15_1_exp","NM_Sg","HSElist1Dec12","exp","Ошибка!",6817,1,NA,23,"KAO9",9,"stimulus.ejs"
"122","37.145.247.113",1418757654679,"16_1_fill","M_Pl","HSElist1Dec12","fill","",NA,1,NA,24,"KAO9",9,"stimulus.ejs"
"123","37.145.247.113",1418757666801,"17_1_exp","M_Sg","HSElist1Dec12","exp","",NA,1,NA,25,"KAO9",9,"stimulus.ejs"
"124","37.145.247.113",1418757677496,"18_1_fill","NM_Pl","HSElist1Dec12","fill","Ошибка!",5092,1,NA,26,"KAO9",9,"stimulus.ejs"
